,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
1716,2,11,1,,,,,*,PERU,-13.7,-76,50,8.6,10,,,,,,,,,,,,,,,,,,,,,,,,
1716,,,,,,,,*,"CHINA: S XINJIANG: AKSU, BALKHASH",41.2,80.3,30,7.5,9,,,,,,,,3,,,,,,,,,,,,3,,,,
1725,1,7,4,25,,,,*,"PERU: TRUJILLO, ANCASH, LIMA",-9,-79,60,7.7,9,1500,4,,,,,,3,,3,,,1500,4,,,,,,3,,3,,
1725,1,8,13,0,,,,*,PERU: AREQUIPA,-16.4,-70.8,3,7.6,7,,,,,,,,1,,,,1,,,,,,,,1,,,,1
1725,2,1,11,,,,,*,RUSSIA: E OF LAKE BAYKAL,56.5,118.5,50,8.2,11,,,,,,,,,,,,,,,,,,,,,,,,
1737,11,4,8,,,,,*,RUSSIA: OFF KAMCHATKA,55.5,163,20,7.8,10,,,,,,,,,,,,,,,,,,,,,,,,
1737,12,17,,,,Tsu,,*,RUSSIA: KURIL ISLANDS,50,157,50,7.5,9,,,,,,,,,,,,,,,,,,,,,,,,
1742,6,27,5,30,,,,*,RUSSIA: LAKE BAYKAL,53.3,104,40,7.7,10,,,,,,,,,,,,,,,,,,,,,,,,
1746,10,29,3,30,,Tsu,,*,"PERU: LIMA, CALLAO",-11.996,-77.198,30,8,11,1141,4,,,,,,4,2975,4,,,5941,4,,,,,,4,,3,,
1761,12,9,17,20,,,,*,RUSSIA; MONGOLIA,50,90,30,7.7,10,,,,,,,,,,,,,,,,,,,,,,,,
1769,10,24,13,,,,,*,RUSSIA: LAKE BAYKAL,51.8,105.5,40,7.3,10,,,,,,,,,,,,,,,,,,,,,,,,
1780,1,8,19,30,,,,*,IRAN: TABRIZ,38,46.2,20,7.7,9,50000,4,,,,,,4,,4,,,50000,4,,,,,,4,,4,,
1783,2,5,12,0,,Tsu,,*,ITALY: TYRRHENIAN CALABRIA,38.3,15.967,13,6.9,11,30000,4,,,,,,4,,4,,,30000,4,,,,,,4,,4,,
1783,2,6,0,20,,Tsu,,*,ITALY: MESSINA STRAITS,38.217,15.633,6,5.9,8,,,,,,,,,,,,,1500,4,,,,,,,,,,
1790,12,2,1,,,,,*,RUSSIA: NEAR KAMCHATKA,54,162,20,7.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1791,4,15,,,,Tsu,,*,RUSSIA: KAMCHATKA,56,163,20,6.8,9,,,,,,,,,,,,,,,,,,,,,,,,
1792,8,22,18,,,Tsu,,*,RUSSIA: NEAR KAMCHATKA,54,162,40,8.4,11,,,,,,,,,,,,,,,,,,,,,,,,
1799,,,,,,,,*,UZBEKISTAN: UZGUT,39.4,67.2,10,6,9,,,,,,,,3,,,,,,,,,,,,,,,,
1802,10,26,10,55,,,,*,"ROMANIA: CARPATHIAN FOLD,VRANCEA",45.7,26.6,150,7.4,10,,,,,,,,2,,,,,,,,,,,,,,,,
1806,12,1,23,,,Tsu,,*,PERU: LIMA,-12.1,-77.1,30,7.5,8,,,,,,,,1,,,,,,,,,,,,1,,,,
1811,1,1,5,,,,,*,GEORGIA: KAKHETIYA,41.8,45.2,7,4.2,7,,,,,,,,2,,,,,,,,,,,,,,,,
1812,3,26,20,7,,Tsu,,*,VENEZUELA: LA GUAIRA,10.6,-66.9,33,7.7,10,26000,4,,,,,,3,,,,,26000,4,,,,,,3,,,,
1816,7,22,15,30,,,,*,GUATEMALA: SOLOMA,15.5,-91.5,33,7.5,9,23,1,,,,,,3,,3,,3,23,1,,,,,,3,,3,,
1828,3,30,12,35,,Tsu,,*,"PERU: LIMA, CALLAO",-12.13,-77.809,50,8.3,7,30,1,,,,3,,2,,,,2,30,1,,,,3,,2,,,,2
1828,8,9,16,,,,,*,AZERBAIJAN: SHEMAKHA (SEMACHA),40.7,48.4,10,5.7,8,,,,,,,,3,,,,,,,,,,,,,,,,
1829,3,7,22,,,,,*,RUSSIA: LAKE BAYKAL,51.4,104.1,40,7.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1830,3,9,11,22,,,,*,RUSSIA: DAGESTAN,43,47,16,6.3,9,40,1,,,,,,2,,,,,,,,,,,,,,,,
1833,11,24,,,,Tsu,,*,INDONESIA: SUMATRA: BENGKULU,-2.5,100.5,75,8.3,9,,,,,,,,2,,1,,1,,1,,,,,,2,,1,,1
